Model,Accuracy,Precision,Recall,F1
svm-rbf,0.986952288218111,0.9870386395435098,0.9870189680011561,0.9870056478497351
random-forest,0.9834469328140214,0.983146796227898,0.983634336330127,0.9833261904528171
xgboost,0.9873417721518988,0.9871073394554745,0.9875096368584629,0.9872725238220271
